"","State","Date","Region","Active.Cases"
"333","Kedah",2020-09-28,"Kubang Pasu",35
"334","Kedah",2020-09-29,"Kulim",3
"335","Kedah",2020-09-30,"Pendang",1
"336","Kedah",2020-10-01,"Baling",34
"337","Kedah",2020-10-02,"Padang Terap",1
"338","Kedah",2020-10-03,"Langkawi",0
"339","Kedah",2020-10-04,"Bandar Baharu",1
"340","Kedah",2020-10-05,"Sik",0
"341","Kedah",2020-10-06,"Yan",0
"342","Kedah",2020-10-07,"Kuala Muda",23
"343","Kedah",2020-10-08,"Kota Setar",588
"344","Kedah",2020-10-09,"Kubang Pasu",20
"345","Kedah",2020-10-10,"Kulim",2
"346","Kedah",2020-10-11,"Pendang",1
"347","Kedah",2020-10-12,"Baling",36
"348","Kedah",2020-10-13,"Padang Terap",1
"349","Kedah",2020-10-14,"Langkawi",0
"350","Kedah",2020-10-15,"Bandar Baharu",1
"351","Kedah",2020-10-16,"Sik",0
"352","Kedah",2020-10-17,"Yan",0
"353","Kedah",2020-10-18,"Kuala Muda",24
"354","Kedah",2020-10-19,"Kota Setar",517
"355","Kedah",2020-10-20,"Kubang Pasu",19
"356","Kedah",2020-10-21,"Kulim",2
"357","Kedah",2020-10-22,"Pendang",1
"358","Kedah",2020-10-23,"Baling",39
"359","Kedah",2020-10-24,"Padang Terap",1
"360","Kedah",2020-10-25,"Langkawi",0
"361","Kedah",2020-10-26,"Bandar Baharu",1
"362","Kedah",2020-10-27,"Sik",0
"363","Kedah",2020-10-28,"Yan",0
"364","Kedah",2020-10-29,"Kuala Muda",23
"365","Kedah",2020-10-30,"Kota Setar",504
"366","Kedah",2020-10-31,"Kubang Pasu",17
"367","Kedah",2020-11-01,"Kulim",1
"368","Kedah",2020-11-02,"Pendang",1
"369","Kedah",2020-11-03,"Baling",38
"370","Kedah",2020-11-04,"Padang Terap",1
"371","Kedah",2020-11-05,"Langkawi",0
"372","Kedah",2020-11-06,"Bandar Baharu",1
"373","Kedah",2020-11-07,"Sik",0
"374","Kedah",2020-11-08,"Yan",0
"375","Kedah",2020-11-09,"Kuala Muda",23
"376","Kedah",2020-11-10,"Kota Setar",564
"377","Kedah",2020-11-11,"Kubang Pasu",18
"378","Kedah",2020-11-12,"Kulim",1
"379","Kedah",2020-11-13,"Pendang",1
"380","Kedah",2020-11-14,"Baling",30
"381","Kedah",2020-11-15,"Padang Terap",1
"382","Kedah",2020-11-16,"Langkawi",0
"383","Kedah",2020-11-17,"Bandar Baharu",1
"384","Kedah",2020-11-18,"Sik",0
"385","Kedah",2020-11-19,"Yan",0
"386","Kedah",2020-11-20,"Kuala Muda",23
"387","Kedah",2020-11-21,"Kota Setar",542
"388","Kedah",2020-11-22,"Kubang Pasu",16
"389","Kedah",2020-11-23,"Kulim",1
"390","Kedah",2020-11-24,"Pendang",0
"391","Kedah",2020-11-25,"Baling",18
"392","Kedah",2020-11-26,"Padang Terap",1
"393","Kedah",2020-11-27,"Langkawi",0
"394","Kedah",2020-11-28,"Bandar Baharu",1
"395","Kedah",2020-11-29,"Sik",0
"396","Kedah",2020-11-30,"Yan",0
"397","Kedah",2020-09-26,"Kuala Muda",23
"398","Kedah",2020-09-27,"Kota Setar",542
"399","Kedah",2020-09-28,"Kubang Pasu",16
"400","Kedah",2020-09-29,"Kulim",1
"401","Kedah",2020-09-30,"Pendang",0
"402","Kedah",2020-10-01,"Baling",19
"403","Kedah",2020-10-02,"Padang Terap",1
"404","Kedah",2020-10-03,"Langkawi",0
"405","Kedah",2020-10-04,"Bandar Baharu",3
"406","Kedah",2020-10-05,"Sik",0
"407","Kedah",2020-10-06,"Yan",0
"408","Kedah",2020-10-07,"Kuala Muda",23
"409","Kedah",2020-10-08,"Kota Setar",546
"410","Kedah",2020-10-09,"Kubang Pasu",16
"411","Kedah",2020-10-10,"Kulim",1
"412","Kedah",2020-10-11,"Pendang",0
"413","Kedah",2020-10-12,"Baling",19
"414","Kedah",2020-10-13,"Padang Terap",1
"415","Kedah",2020-10-14,"Langkawi",0
"416","Kedah",2020-10-15,"Bandar Baharu",3
"417","Kedah",2020-10-16,"Sik",0
"418","Kedah",2020-10-17,"Yan",0
"419","Kedah",2020-10-18,"Kuala Muda",19
"420","Kedah",2020-10-19,"Kota Setar",183
"421","Kedah",2020-10-20,"Kubang Pasu",13
"422","Kedah",2020-10-21,"Kulim",1
"423","Kedah",2020-10-22,"Pendang",0
"424","Kedah",2020-10-23,"Baling",7
"425","Kedah",2020-10-24,"Padang Terap",1
"426","Kedah",2020-10-25,"Langkawi",0
"427","Kedah",2020-10-26,"Bandar Baharu",6
"428","Kedah",2020-10-27,"Sik",0
"429","Kedah",2020-10-28,"Yan",0
"430","Kedah",2020-10-29,"Kuala Muda",5
"431","Kedah",2020-10-30,"Kota Setar",149
"432","Kedah",2020-10-31,"Kubang Pasu",14
"433","Kedah",2020-11-01,"Kulim",1
"434","Kedah",2020-11-02,"Pendang",0
"435","Kedah",2020-11-03,"Baling",7
"436","Kedah",2020-11-04,"Padang Terap",0
"437","Kedah",2020-11-05,"Langkawi",0
"438","Kedah",2020-11-06,"Bandar Baharu",8
"439","Kedah",2020-11-07,"Sik",0
"440","Kedah",2020-11-08,"Yan",0
"441","Kedah",2020-11-09,"Kuala Muda",5
"442","Kedah",2020-11-10,"Kota Setar",150
"443","Kedah",2020-11-11,"Kubang Pasu",15
"444","Kedah",2020-11-12,"Kulim",1
"445","Kedah",2020-11-13,"Pendang",0
"446","Kedah",2020-11-14,"Baling",7
"447","Kedah",2020-11-15,"Padang Terap",0
"448","Kedah",2020-11-16,"Langkawi",0
"449","Kedah",2020-11-17,"Bandar Baharu",9
"450","Kedah",2020-11-18,"Sik",0
"451","Kedah",2020-11-19,"Yan",0
"452","Kedah",2020-11-20,"Kuala Muda",3
"453","Kedah",2020-11-21,"Kota Setar",152
"454","Kedah",2020-11-22,"Kubang Pasu",17
"455","Kedah",2020-11-23,"Kulim",1
"456","Kedah",2020-11-24,"Pendang",0
"457","Kedah",2020-11-25,"Baling",6
"458","Kedah",2020-11-26,"Padang Terap",0
"459","Kedah",2020-11-27,"Langkawi",0
"460","Kedah",2020-11-28,"Bandar Baharu",9
"461","Kedah",2020-11-29,"Sik",0
"462","Kedah",2020-11-30,"Yan",0
"463","Kedah",2020-09-26,"Kuala Muda",3
"464","Kedah",2020-09-27,"Kota Setar",149
"465","Kedah",2020-09-28,"Kubang Pasu",17
"466","Kedah",2020-09-29,"Kulim",1
"467","Kedah",2020-09-30,"Pendang",0
"468","Kedah",2020-10-01,"Baling",1
"469","Kedah",2020-10-02,"Padang Terap",0
"470","Kedah",2020-10-03,"Langkawi",0
"471","Kedah",2020-10-04,"Bandar Baharu",9
"472","Kedah",2020-10-05,"Sik",0
"473","Kedah",2020-10-06,"Yan",0
"474","Kedah",2020-10-07,"Kuala Muda",2
"475","Kedah",2020-10-08,"Kota Setar",89
"476","Kedah",2020-10-09,"Kubang Pasu",6
"477","Kedah",2020-10-10,"Kulim",1
"478","Kedah",2020-10-11,"Pendang",0
"479","Kedah",2020-10-12,"Baling",2
"480","Kedah",2020-10-13,"Padang Terap",0
"481","Kedah",2020-10-14,"Langkawi",0
"482","Kedah",2020-10-15,"Bandar Baharu",9
"483","Kedah",2020-10-16,"Sik",0
"484","Kedah",2020-10-17,"Yan",0
"485","Kedah",2020-10-18,"Kuala Muda",2
"486","Kedah",2020-10-19,"Kota Setar",86
"487","Kedah",2020-10-20,"Kubang Pasu",8
"488","Kedah",2020-10-21,"Kulim",5
"489","Kedah",2020-10-22,"Pendang",0
"490","Kedah",2020-10-23,"Baling",2
"491","Kedah",2020-10-24,"Padang Terap",0
"492","Kedah",2020-10-25,"Langkawi",0
"493","Kedah",2020-10-26,"Bandar Baharu",9
